date,AI,Blockchain technology,Cloud services
2020-08-02,1.0752688172043012,2.7027027027027026,17.80821917808219
2020-08-09,1.0752688172043012,1.3513513513513513,17.80821917808219
2020-08-16,1.0752688172043012,2.7027027027027026,15.068493150684931
2020-08-23,1.0752688172043012,1.3513513513513513,19.17808219178082
2020-08-30,1.0752688172043012,2.7027027027027026,19.17808219178082
2020-09-06,1.0752688172043012,5.405405405405405,23.28767123287671
2020-09-13,1.0752688172043012,5.405405405405405,21.91780821917808
2020-09-20,1.0752688172043012,4.054054054054054,21.91780821917808
2020-09-27,0.0,1.3513513513513513,20.54794520547945
2020-10-04,0.0,10.81081081081081,17.80821917808219
2020-10-11,1.0752688172043012,0.0,16.43835616438356
2020-10-18,1.0752688172043012,2.7027027027027026,19.17808219178082
2020-10-25,1.0752688172043012,5.405405405405405,17.80821917808219
2020-11-01,0.0,4.054054054054054,16.43835616438356
2020-11-08,1.0752688172043012,4.054054054054054,16.43835616438356
2020-11-15,1.0752688172043012,4.054054054054054,13.698630136986301
2020-11-22,2.1505376344086025,6.756756756756757,13.698630136986301
2020-11-29,1.0752688172043012,4.054054054054054,15.068493150684931
2020-12-06,1.0752688172043012,6.756756756756757,16.43835616438356
2020-12-13,1.0752688172043012,5.405405405405405,15.068493150684931
2020-12-20,1.0752688172043012,1.3513513513513513,6.8493150684931505
2020-12-27,1.0752688172043012,12.162162162162163,0.0
2021-01-03,1.0752688172043012,24.324324324324326,8.21917808219178
2021-01-10,1.0752688172043012,20.27027027027027,13.698630136986301
2021-01-17,2.1505376344086025,16.216216216216218,10.95890410958904
2021-01-24,1.0752688172043012,18.91891891891892,10.95890410958904
2021-01-31,1.0752688172043012,22.972972972972975,9.58904109589041
2021-02-07,1.0752688172043012,25.675675675675674,15.068493150684931
2021-02-14,1.0752688172043012,33.78378378378378,13.698630136986301
2021-02-21,1.0752688172043012,39.189189189189186,15.068493150684931
2021-02-28,1.0752688172043012,27.027027027027028,13.698630136986301
2021-03-07,2.1505376344086025,24.324324324324326,9.58904109589041
2021-03-14,2.1505376344086025,18.91891891891892,10.95890410958904
2021-03-21,2.1505376344086025,20.27027027027027,9.58904109589041
2021-03-28,2.1505376344086025,9.45945945945946,12.32876712328767
2021-04-04,2.1505376344086025,17.56756756756757,10.95890410958904
2021-04-11,1.0752688172043012,17.56756756756757,9.58904109589041
2021-04-18,2.1505376344086025,22.972972972972975,15.068493150684931
2021-04-25,2.1505376344086025,17.56756756756757,12.32876712328767
2021-05-02,2.1505376344086025,22.972972972972975,15.068493150684931
2021-05-09,2.1505376344086025,32.432432432432435,17.80821917808219
2021-05-16,2.1505376344086025,25.675675675675674,17.80821917808219
2021-05-23,2.1505376344086025,27.027027027027028,17.80821917808219
2021-05-30,2.1505376344086025,20.27027027027027,16.43835616438356
2021-06-06,3.225806451612903,16.216216216216218,19.17808219178082
2021-06-13,2.1505376344086025,17.56756756756757,19.17808219178082
2021-06-20,2.1505376344086025,18.91891891891892,15.068493150684931
2021-06-27,2.1505376344086025,10.81081081081081,13.698630136986301
2021-07-04,2.1505376344086025,8.108108108108109,10.95890410958904
2021-07-11,2.1505376344086025,8.108108108108109,13.698630136986301
2021-07-18,2.1505376344086025,9.45945945945946,16.43835616438356
2021-07-25,1.0752688172043012,9.45945945945946,16.43835616438356
2021-08-01,1.0752688172043012,8.108108108108109,15.068493150684931
2021-08-08,2.1505376344086025,10.81081081081081,13.698630136986301
2021-08-15,2.1505376344086025,10.81081081081081,13.698630136986301
2021-08-22,1.0752688172043012,14.864864864864865,16.43835616438356
2021-08-29,2.1505376344086025,13.513513513513514,16.43835616438356
2021-09-05,2.1505376344086025,12.162162162162163,13.698630136986301
2021-09-12,2.1505376344086025,12.162162162162163,20.54794520547945
2021-09-19,2.1505376344086025,18.91891891891892,17.80821917808219
2021-09-26,2.1505376344086025,21.62162162162162,20.54794520547945
2021-10-03,2.1505376344086025,18.91891891891892,17.80821917808219
2021-10-10,3.225806451612903,18.91891891891892,13.698630136986301
2021-10-17,3.225806451612903,27.027027027027028,17.80821917808219
2021-10-24,3.225806451612903,24.324324324324326,17.80821917808219
2021-10-31,3.225806451612903,24.324324324324326,9.58904109589041
2021-11-07,3.225806451612903,33.78378378378378,17.80821917808219
2021-11-14,3.225806451612903,32.432432432432435,19.17808219178082
2021-11-21,2.1505376344086025,40.54054054054054,17.80821917808219
2021-11-28,3.225806451612903,41.891891891891895,23.28767123287671
2021-12-05,3.225806451612903,39.189189189189186,20.54794520547945
2021-12-12,3.225806451612903,29.72972972972973,16.43835616438356
2021-12-19,3.225806451612903,24.324324324324326,15.068493150684931
2021-12-26,3.225806451612903,27.027027027027028,8.21917808219178
2022-01-02,3.225806451612903,44.5945945945946,19.17808219178082
2022-01-09,3.225806451612903,48.64864864864865,17.80821917808219
2022-01-16,2.1505376344086025,48.64864864864865,16.43835616438356
2022-01-23,3.225806451612903,51.35135135135135,24.65753424657534
2022-01-30,3.225806451612903,95.94594594594594,26.027397260273972
2022-02-06,3.225806451612903,55.4054054054054,26.027397260273972
2022-02-13,4.301075268817205,56.75675675675676,24.65753424657534
2022-02-20,3.225806451612903,52.702702702702695,23.28767123287671
2022-02-27,3.225806451612903,47.2972972972973,27.397260273972602
2022-03-06,4.301075268817205,48.64864864864865,28.767123287671232
2022-03-13,3.225806451612903,44.5945945945946,23.28767123287671
2022-03-20,4.301075268817205,44.5945945945946,24.65753424657534
2022-03-27,4.301075268817205,48.64864864864865,23.28767123287671
2022-04-03,3.225806451612903,45.94594594594595,24.65753424657534
